Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Parking,Amenities,Appliances,Window Views,The House Has,Links
Panels,No,Available,10,77 sq.m.,4,1,from 2.75 m,5,Closed balcony,Available,Cosmetic Renovation,7,Yes,Yes,By Agreement,By Agreement,"Проспект Республики 1/5, Абовян","10,000 ֏ daily",AMD,"Сдаётся посуточно без посредников, полностью за меблированная отремонтированная 4 комнатная квартира.В квартире имеется телевизор, Домашний кинотеатр, утюг, Стеральная машина, газовая электрическая плита, холодильник, чайник,В шаговой доступности садик, школа, круглосуточные Магазины супермаркетов, остановка.24/7 круглосуточно звоните1) В квартире есть все условия для отдыха и проживая.2) Цена: От 11000 до 15000 то есть 27 долларов 37долларов, либо от 1700 тысяч рублей до 2100 рублей3) В сутки, в зависимости от количества дней, а также количество людей.4) В квартире имеется телевизор, Домашний кинотеатр, утюг, Стеральная машина, газовая электрическая плита, холодильник, чайник.5) Город Абовян Не далеко от Еревана расстояние 7 км.6) более подробнее информация звоните 24/77) А также залог либо документ8) Также у нас есть часоваяFor rent daily without intermediaries, fully furnished renovated 4-room apartment.The apartment has a TV, home theater, iron, Washing machine, gas electric stove, refrigerator, kettle,Within walking distance of kindergarten, school, convenience stores, supermarkets, bus stop.24/7 call around the clock1) The apartment has all the conditions for rest and living.2) Price: From 11,000 to 15,000, that is, $ 27 to $ 37, or from 1700 thousand rubles to 2100.rubles3) Per day, depending on the number of days, as well as the number of people.4) The apartment has a TV, home theater, iron, Washing machine, gas electric stove, refrigerator, kettle.5) The city of Abovyan is not far from Yerevan, the distance is 7 km.6) for more information, call 24/77) As well as a pledge or a document8) We also have a sentryՎարձով է տրվում օրավարձով ՝ առանց միջնորդների, ամբողջությամբ կահավորված 4 սենյականոց բնակարան ։Բնակարանն ունի հեռուստացույց, տնային կինոթատրոն, Արդուկ, Ստերալ մեքենա, գազի Էլեկտրական վառարան, Սառնարան, Թեյնիկ,Է քայլելու մանկապարտեզը, դպրոցը, շուրջօրյա Խանութներ, սուպերմարկետ, կանգառ.24/7 շուրջօրյա զանգահարեք1) բնակարանը ունի բոլոր պայմանները հանգստի եւ ապրում.2) գինը '13000-ից մինչեւ 77000 դոլար, այսինքն' 27 դոլար 37 դոլար, կամ 1700 հազար ռուբլից մինչեւ 2100: Ռուբլի3) մեկ օրում, կախված օրերի քանակից, ինչպես նաեւ մարդկանց քանակից:4) Բնակարանը ունի հեռուստացույց, տնային կինոթատրոն, երկաթ, մեքենա, գազի Էլեկտրական վառարան, Սառնարան, Թեյնիկ.5) Աբովյան քաղաքը Երեւանից հեռու չէ 7 կմ Հեռավորությունը:6) ավելի մանրամասն տեղեկություն զանգահարեք 24/77) Ինչպես նաև գրավ կամ փաստաթուղթ8) Նաեւ մենք ունենք մեկ ժամ",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18374015
Stone,Yes,Not available,2,70 sq.m.,3,1,from 3 m,2,Not available,,Major Renovation,,,,,,"1-ին փողոց 61, Մասիս","200,000 ֏ monthly",AMD,"Տրվում է տուն վարձով, ք․ Մասիս, 1-ին փողոցում, կապիտալ վերանորոգված․ Գինը 180000-200000 դրամ։Сдается дом, г. Масис, на 1-й улице, полностью отремонтирован. Цена 180 000-200 000 драм.House for rent, c. Masis, on the 1st street, completely renovated. The price is 180,000-200,000 AMD.",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18373648
Panels,No,Available,5,75 sq.m.,3,1,from 3 m,5,Not available,,Major Renovation,,,,,,Ararat › Masis,"250,000 ֏ monthly",AMD,"Masis District 2, newly renovated and uninhabited apartment for long-term rent with initial 3 months rent, furnished with brand new furnitureTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18066551
Monolith,Yes,Available,12,46 sq.m.,2,1,from 2.8 m,2,Not available,,Euro Renovation,,,,,,"Norashen block, Yerevan","300,000 ֏ monthly",AMD,"A 2-room apartment is for rent in a newly built district.Other questions by call. Write for the pictures, I will send them to Viber.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/17480401
Stone,No,Not available,5,40 sq.m.,2,1,from 2.7 m,4,Open balcony,,Major Renovation,2,Yes,Yes,Not included,1 month,Ararat › Artashat,"20,000 ֏ daily",AMD,Call the indicated numbers for details.600 USD per monthTranslated from Armenian,Nov-24-2022_17-52,,,,,,https://list.am/en/item/11893315
Stone,No,Not available,1,100 sq.m.,4,1,from 3 m,1,Not available,Available,Partial Renovation,8+,No,Yes,Not included,1 month,"Լենինի փողոց 10, Նշավան","60,000 ֏ monthly",AMD,"A private house is for rent in the village of Nshavan, it has gas, hot water, electricity, it has been partially repaired and is in normal condition. I leave the evenings at home too, not to call pointlessly.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18238887
Bricks,No,Not available,1,40 sq.m.,2,1,from 2.5 m,1,Not available,Available,Euro Renovation,1,No,No,By Agreement,By Agreement,Ararat › Artashat,"140,000 ֏ monthly",AMD,"Отдельное жилье с удобствами в Араратской долине, город Арташат в 20 км от Еревана, преимущество отдается порядочному арендатору без вредных привычек.Две небольшие комнаты с кухней и совмещенный санузел, проведен интернет, есть необходимая мебель.Проживание с животными не предусмотрено.После евроремонта в квартире еще никто не жил.Аренда напрямую у владельца без комиссионных.",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18371121
Stone,Yes,Not available,5,78 sq.m.,3,1,from 2.8 m,2,Closed balcony,Available,Major Renovation,3,No,No,By Agreement,By Agreement,"Dprocakanner street, Masis","200,000 ֏ monthly",AMD,"The apartment is located in the center of Masis city, it is newly renovatedTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/17438243
Panels,Yes,Not available,4,65 sq.m.,3,1,from 2.8 m,2,Open balcony,Available,Major Renovation,4,Yes,No,Not included,1 month,Ararat › Masis,"150,000 ֏ monthly",AMD,"3-room apartment in the city of Masis, in a newly built building.Kitchen, bathroomoverhauledhas all utilities hot and cold waterLight gasIt is furnishedIt is given only to responsible people and long-term. Deposit + 50,000 AMD No intermediaryTranslated from Armenian",Nov-24-2022_17-52,OUtdoor parking,TElevision,"FRidge, washing machine, water heater",YArd view,,https://list.am/en/item/18351872
Stone,No,Not available,5,45 sq.m.,2,1,from 2.5 m,1,Not available,Available,Major Renovation,4,No,No,Included,By Agreement,"Улица Карла Маркса 7, Арташат","15,000 ֏ daily",AMD,"Մարրքսի 7 հասցեում վարձով է տրվում 2 սենկանոց բնակարան, կոմունալ բոլոր հարմարություններով տրամադրվում ե լոգասենյակի պարագաներ եվ սպիտակեղեն, գույքի, սպասքի, տեխնիկայի հետ միասին, ջեռուցման համակարգ, ամբողջ հատակը տաքացվող մեծ սանհանգույց, Լվացքի մեքենա, smart հեռուստացույց, օթօրակիչ, միկռո ալիքային վառարան, սառնարան, կաթսա, տաք սառը ջուր, բաք տրվում է 5 օր եվ ավելի ժամկետով 1 օրվա համար չզանգել the address marrks 7, a one-bedroom apartment with all communal amenities is for rent, along with real estate, dishes, appliances, heating system, a large bathroom with underfloor heating, washing machine, smart TV, house, microwave oven, refrigerator, stove, hot cold water, По адресу марркс 7 сдается в аренду двухкомнатная квартира со всеми коммунальными удобствами, вместе с недвижимостью, посудой, техникой, системой отопления, большой санузел с подогревом всего пола, стиральная машина, smart TV, домик, микроволновая печь, холодильник, плита, горячая холодная вода, бак",Nov-24-2022_17-52,,,"FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer",,,https://list.am/en/item/17003019
Panels,No,Not available,5,76 sq.m.,3,1,from 2.8 m,5,Closed balcony,,Major Renovation,6,Yes,No,By Agreement,By Agreement,"Ներսիսյան փողոց 1, Արտաշատ","15,000 ֏ daily",AMD,Call in case of questionsTranslated from Armenian,Nov-24-2022_17-52,,,,,,https://list.am/en/item/18220271
Panels,No,Not available,5,60 sq.m.,2,1,from 2.75 m,4,Open balcony,Available,Major Renovation,3,No,No,Included,1 month,Ararat › Artashat,"150,000 ֏ monthly",AMD,"Right in the center of ArtashatNewly renovated unoccupiedCall for all other questionsFor normal people, the price is not finalTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18364346
Stone,No,Not available,5,41 sq.m.,2,1,from 2.7 m,5,Open balcony,,Major Renovation,8+,Yes,Yes,Not included,1 month,Ararat › Artashat,"20,000 ֏ daily",AMD,Call the indicated numbers for details.700USD per monthTranslated from Armenian,Nov-24-2022_17-52,,,,,,https://list.am/en/item/13282916
Stone,No,Not available,5,82 sq.m.,3,1,from 2.8 m,5,Open balcony,,Old Renovation,,,,,,Ararat › Artashat,"90,000 ֏ monthly",AMD,The house has utilities: Hot and cold water is gasified.Translated from Armenian,Nov-24-2022_17-52,,,,,,https://list.am/en/item/18232803
Stone,No,Not available,5,86 sq.m.,3,2,from 3 m,1,Not available,Available,Euro Renovation,6,Yes,Yes,Not included,By Agreement,"August 23 street 23, Artaxata (Artashat)","$1,000 monthly",USD,"Сдается 3-комнатная квартира с евро ремонтом в Арташате. Есть все коммуникации, Мебель, бытовая техника, Baxi, Кондиционер3-room Euro-renovated apartment is for rent in Artashat. Has all the utilities, Furniture, appliances, Baxi, Air conditionerԿոդ N111",Nov-24-2022_17-52,"OUtdoor parking, garage","TElevision, air conditioner, internet, parking space","FRidge, stove, washing machine, water heater","YArd view, street view, city view, view of ararat",PLayground,https://list.am/en/item/17459378
Stone,No,Not available,5,44 sq.m.,2,1,from 3 m,5,Open balcony,Available,Euro Renovation,4,Yes,Yes,Not included,By Agreement,"Շահումյանի փողոց 14, Արտաշատ","220,000 ֏ monthly",AMD,"Ежемесячная плата, ежедневная плата,2-комнатная квартира с евро ремонтом в Арташате. Все коммуникации в наличии, мебель, техника, посуда, постель, кондиционер, есть открытый балкон, рассчитан на 4 человека.Օրավարձով և ամսավճարով է տրվում 2 սենյականոց եվրովերանորոգված բնակարան Արտաշատ քաղաքում։ Առկա է կոմունալ բոլոր հարմարությունները, կահույք, տեխնիկա, սպասք, անկողին, օդորակիչ, ունի բաց պատշգամբ, նախատեսված է 4 հոգու համարԿոդ Nkg83",Nov-24-2022_17-52,,"TElevision, air conditioner, internet, parking space","FRidge, stove, washing machine, water heater, iron","STreet view, view of ararat",,https://list.am/en/item/17494634
Stone,No,Not available,2,55 sq.m.,2,1,from 2.8 m,1,Closed balcony,Available,Euro Renovation,4,No,No,Not included,2 weeks,Ararat › Artashat,"100,000 ֏ monthly",AMD,"3 2-room apartments are for rent, fully furnished with all communal facilities. He is also on a daily rent of 9000 AMDTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/16746210
Stone,Yes,Not available,4,64 sq.m.,3,1,from 3 m,2,Not available,Available,Major Renovation,2,Yes,No,Not included,By Agreement,Ararat › Masis,"350,000 ֏ monthly",AMD,"A 3-room apartment is for rent in the city of Masis on the 2nd floor of a 4-story building (residential ground floor)The apartment is lined with two floors of stone, due to which it is warm in winter and cool in summer.Has all utilitiesThe pipes and wiring have been replaced, the floor has been completely replaced, the apartment is sunny and bright.The windows are of European production, the heating system is fondital, the bedroom and kitchen furniture are new. Used since August 2020.There are many shops nearby.A school, a bus stop and a kindergarten, as well as a newly reopened development center for children, a beauty salon and an entertainment center on the first floor of the building.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18229351
Panels,No,Not available,5,62 sq.m.,2,1,from 2.8 m,5,Closed balcony,Available,Old Renovation,4,Yes,No,Not included,1 month,"Ծովակալ Իսակովի փողոց 83, Արտաշատ","100,000 ֏ monthly",AMD,"2-room apartment for rent, old renovation, partial property. Call for more information. The apartment will be available on December 1.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18338062
Stone,Yes,Not available,2,54 sq.m.,2,1,from 2.75 m,2,Open balcony,Available,Major Renovation,1,Yes,Yes,Included,Without prepayment,Ararat › Geghanist,"8,000 ֏ daily",AMD,Newly renovated new furniture on the second floor of the house with different entrancesTranslated from Armenian,Nov-24-2022_17-52,,,,,,https://list.am/en/item/17892910
Stone,No,Not available,3,41 sq.m.,1,1,from 2.75 m,3,Open balcony,Not available,Partial Renovation,2,Yes,No,By Agreement,By Agreement,"Улица Араратян 36, Веди","60,000 ֏ monthly",AMD,"Վարձով է տրվում բնակարան Վեդի քաղաքում /Արարատի մարզ/. Բնակարանը գտնվում է եռահարկ քարե շենքի երրորդ հարկում, ունի ընդարձակ բաց պատշգամբ՝ արևկող, ունի ներքին մասնակի հարդարում, սանհանգույց, ջուր, հոսանք։ Վարձով է տրվում առանց կահույքի։Сдается в аренду квартира в городе Веди /АР, Араратская область/. Квартира расположена на третьем этаже трехэтажного каменного дома, имеет открытый просторный балкон: Солнечная, имеется внутренняя частичняя отделка, санузел, вода, электричество. Сдается без мебели.",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18575614
Stone,No,Not available,5,75 sq.m.,3,1,from 2.75 m,5,Closed balcony,By agreement,Cosmetic Renovation,6,Yes,No,Not included,1 month,Ararat › Masis,"140,000 ֏ monthly",AMD,The apartment can be provided emptyand furnishedWe will agreeIt is gasifiedAvailable with a depositTranslated from Armenian,Nov-27-2022_18-51,,,,,,https://list.am/en/item/18559499
Stone,No,Not available,5,75 sq.m.,3,1,from 2.8 m,3,Multiple balconies,Available,Euro Renovation,4,Yes,No,Not included,1 month,Ararat › Artashat,"200,000 ֏ monthly",AMD,"A 3-room apartment is for rent at August 23, Artashati, which is in perfect condition, equipped with property, appliances and dishes.For long-term rent.In case of questions, call:No bargaining. Please do not call to bargain...Translated from Armenian",Nov-27-2022_18-51,,"TElevision, air conditioner","FRidge, stove, coffee maker, washing machine, water heater","YArd view, street view",,https://list.am/en/item/18623257
Stone,Yes,Not available,3,570 sq.m.,8+,3+,from 3 m,3,Open balcony,Available,Designer Renovation,8+,Yes,Yes,Not included,1 month,"Kentronakan 4th Street 8, Argavand","$3,500 monthly",USD,"Внимание:! Красивый частный дом в Аргаванде сдается на длительный срок с 14 ноября. В особняке все сделано со вкусом, главное с любовью, хорошая аура, главное хозяева замечательные люди, которые всегда придут на помощь в любом вопросе.В доме могут жить даже две семьи. Домашние животные разрешены только (маленькие собаки) Небольшой сад с бассейном, где расположены красивые искусственные (пальмы) деревья, Двор имеет 40 квадратных метров (бисетка), 100 квадратных метров парковочного места, 20 квадратных метров (catelni), барбекю.В квартире на 1 этаже 1 гостиная, кухня, 1 комната, 1 санузел, отдельное подсобное помещение, холл, большой балкон. Квартира полностью отремонтирована, отапливается системой отопления (Католов) зимой, теплым паркетом и летом (калонка) В доме есть кондиционер, посудомойка, микроволновая печь. Вся кухонная утварь (посуда и белье) останется. Предоставляется для использования. Есть пылесос, сушилка и гладильная доска. В доме очень жарко, стены толстые. 2-й этаж особняка состоит из 5 комнат, отдельной (джакузи) игровой комнаты, ванной комнаты, интернета и кабельного телевидения. Дом расположен недалеко от автобусной остановки, до центра можно добраться за 20 минут на машине. Красивый зеленый сад, поверьте, гораздо лучше, чем на фото. Спальни видны на видео: Сдается 3-х этажный частный дом в Аргаванде посуточно (только двор)Бассейн (с фильтром)Буфет на 30-35 человекГриль, тостер. Комната 1 настольный теннис-WI-FI. 9:00-23:00Я могу отправить видео о доме и саду реальным клиентам. Свяжитесь со мной для получения подробной информации по указанным контактам: Мы с удовольствием ответим On Time Realty-Real Estate Agency։",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18498481
