Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,The House Has,Parking,Amenities,Appliances,Window Views,Links
Stone,No,Not available,3.0,30 sq.m.,2.0,1.0,from 2.6 m,2.0,Open balcony,Major Renovation,3,Yes,Yes,By Agreement,By Agreement,"Nairyan Street, Sevan town","10,000 ֏ daily",AMD,"Սևան քաղքի կենտրոնում շուկայի մոտ լճից հեռու է 800-մետր, երեք հարկանի շենքի երրկրորդ հարկում տրվում է օրավարձով մեկ սենյականոց երկուս դարձրաց կապիտալ վերանորոգված ունի բոլոր կոմունալ հարմարություները, ինտերնետ, wiFi-ով և սպասքով։ 10000-15000դրամ, տեղադըրված է նաև ջեռուցման համակարգ ։Сдаёься квартира в городе Севан, недалеко от озеро, на улице Наирян 143,кв. 20Кв. Двухкомнатная. Капитально ремонтировано, со всеми удобствами. 10000-15000 драм.",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17858399
Stone,Yes,Not available,1.0,105 sq.m.,4.0,1.0,from 2.7 m,1.0,Open balcony,Cosmetic Renovation,8+,Yes,Yes,By Agreement,By Agreement,Gegharkunik › Chambarak,"5,000 ֏ daily",AMD,Private house in Dprabak community for daily rent.The guest house has all the amenities1. 3 bedrooms2.1 living room3. Bathroom4. Constant hot and cold water5. Kitchen6. Dishes7. Outdoor pavilion (gazebo) with all its facilities.For details + + +#хкнаг#beautiful#nature#clean#air#home#guest house#house#kids#joy#Translated from Armenian,Nov-24-2022_17-51,Available,,,,,,https://list.am/en/item/18131804
Stone,No,Not available,3.0,40 sq.m.,2.0,1.0,from 2.7 m,3.0,Open balcony,Partial Renovation,4,Yes,No,Not included,2 months,"Ազատության փողոց 21, Գավառ","80,000 ֏ monthly",AMD,"2 rooms for rent, spacious, provided with all communal facilities, the apartment is located on Azatutyan street. The apartment is on the 3rd floor of a stone building.The house is provided with all the necessary amenities.• Constant hot-cold water, gas• Ideal cleanliness• Renovated• The bathroom is tiled• Open balcony with a beautiful view.The apartment is for long-term rent.In case of short term, the apartment will be rented daily.Translated from Armenian",Nov-24-2022_17-51,Available,,,,,,https://list.am/en/item/15146098
Stone,No,Not available,3.0,37 sq.m.,1.0,1.0,from 3 m,3.0,Open balcony,Old Renovation,,,,,,Gegharkunik › Sevan,"10,000 ֏ daily",AMD,"Apartment for rent in the city of Sevan, near the market. 1 day with the specified amountTranslated from Armenian",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/18108771
Stone,Yes,Available,9.0,90 sq.m.,3.0,1.0,from 2.8 m,3.0,Closed balcony,Major Renovation,,,,,,Gegharkunik › Sevan,"14,000 ֏ daily",AMD,"Уютная квартира с евроремонтом в самом центре города Севан для посуточной или длительной аренды. В студии есть спальное место для 2 взрослых людей и детская раскладушка, вся бытовая техника: Телевизор, стиральная машина, микроволновка, газовая плита, холодильник, утюг, пылесос, проведен скоростной интернет. Красивая и удобная мебель.До аэропорта 74 км, до города Дилижан 35 км. До пляжа - 2,8 км. До ботанического сада - 1,8 км. До монастыря Севанаванк - 8 км.Очень живописные окрестности, множество достопримечательностей и маршрутов для прогулок и экскурсий. На первом этаже дома магазинчики, всегда можно купить свежую рыбу (форель, сиг) и овощи, фрукты; салон связи.Рядом отделения банков, магазины, пункты обмена валюты, больница.В квартире тепло, светло, чисто, хорошая звукоизоляция, соседей не слышно.Готовы рассмотреть клиентов с детьми или домашними животными.При долгосрочной аренде возможно скорректировать стоимость проживания.",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17886964
Stone,No,Not available,5.0,52 sq.m.,2.0,2.0,from 3 m,1.0,Closed balcony,Cosmetic Renovation,4,Yes,No,Included,By Agreement,"Գրիբոեդով փողոց 5, Սևան","50,000 ֏ monthly",AMD,"Commercial space in 4 micro-neighborhoods is for urgent rent; The area has all utilities and three-phase electricity. With its comfort, the space can serve as a workshop, shop, beauty salon. It is also possible to exchange with a 3-room apartment for an additional fee from me.Translated from Armenian",Nov-24-2022_17-51,Not available,,,,,,https://list.am/en/item/18085897
Stone,No,Not available,5.0,77 sq.m.,3.0,1.0,from 2.7 m,1.0,Closed balcony,Major Renovation,,,,,,"Улица Налбандяна 49, Севан","150,000 ֏ monthly",AMD,"В самой квартире всё чистенько, ухоженно и обжито (в хорошем смысле)) Вода, газ, электричество.Имеется всё и работает безотказно: Газовый котёл для обогрева помещения, газовая печка и плита, вытяжка, вся сантехника и проводка - всё в норме. Нет только лишь стиральной машины.Мебель в наличии вся: Кровати, диваны, кресла, столы и стулья, серванты, шкафы и тумбы - всё в отличном состоянии + матрасы, подушки, одеяла и покрывала.Большой плазменный телевизор, ну и конечно же ВайФай, и очень даже мощный. Так же имеется абсолютно пригодный для использования камин, да-да, камин))) Фотографии по вашему запросу)Коммуналка по счетчикам.Обязятелен депозит: 100 000 др.",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/18367861
Stone,Yes,Not available,1.0,80 sq.m.,3.0,1.0,from 2.8 m,1.0,Open balcony,Designer Renovation,8+,Yes,Yes,Included,Without prepayment,Gegharkunik › Sevan,"15,000 ֏ daily",AMD,"Still haven't decided where to celebrate the New Year?We have free timeThe house will be available from #December 3️1️ to #January 0️4️.Please call to get acquainted with New Year's packagesThe mansion has2 bedrooms1 spacious living room1 kitchen1 bathroomSpacious yardNatural fireplaceMangalPool cottage daily rent with black fireplaceAutumn 50% discountUnheard of low price3-room cottage for daily rent in Sevan, Lavanda city recreation areaFurnished, clean, property, appliances, disheswith all amenitiesSpend your vacation in a cozy corner of Sevan.The house is designed for up to 5 people, it has:2 bedrooms1 large living roomBathroomKitchenBathroomBalconyIt is also equipped with all the necessary accessories.HURRY PLACES ARE LIMITED!You can call for reservationSpend your vacation in a cozy and comfortable corner of Sevan.#LavandaCity Who?Lavender City, lavender sitiWe have discounts for two or more daysCottages for daily rent1 furnished living room,WIFI is available in the cottages2 bedroomskitchenwith all necessary accessories,One bathroom.It has a balcony.It is equipped with necessary dishes and linen.With a heating systemPlayground.Summer pavilion.Necessary accessories for grilling and grilling.Parking lot.We have discounts for 2 or more daysGuard post.#vacationers#rest house#Family rest#The best place for family vacation#houses for daily rent#per day#rental house#Sevanum house for rent#Sevanalich:#lakesvan#oravardzorqotejner#oravarcovsevanumqotejner#sevanumcottage#SevanumDayRentalCottagesTranslated from Armenian",Nov-24-2022_17-51,Available,"COncierge, playground",OUtdoor parking,TElevision,"FRidge, stove, coffee maker, water heater, iron, hair dryer","YArd view, park view",https://list.am/en/item/18021203
Stone,Yes,Not available,1.0,45 sq.m.,3.0,1.0,from 2.5 m,1.0,Open balcony,Euro Renovation,,,,,,"M-10 13, Tsovazard","15,000 ֏ daily",AMD,Holiday house next to the lake Two rooms in very good condition with a hut with a bathroom All amenities are very convenient for relaxing Two hundred meters from Lake Sevan for a long stay possible at an affordable priceTranslated from Armenian,Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17964738
Stone,No,Not available,5.0,83 sq.m.,3.0,1.0,from 2.8 m,2.0,Closed balcony,Major Renovation,6,Yes,No,Not included,1 month,"Եղիշե Չարենցի փողոց 46, Վարդենիս","80,000 ֏ monthly",AMD,Renovated and uninhabited. Has heating system. FurnishedTranslated from Armenian,Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17299761
Stone,No,Not available,5.0,120 sq.m.,5.0,2.0,from 2.8 m,4.0,Open balcony,Euro Renovation,4,No,No,Included,By Agreement,Gegharkunik › Sevan,"10,000 ֏ daily",AMD,"Сдаётся 2 этажная 5комнатная квартира в Севане. 2 санузла открытий балкон с камином. Евроремонт.1 -2местная кровать2-1,5местная кровать2-1местная кровать2- дивана1-3 дня 30000 в день.3-7 дня 25000 в день.Больше 7 дней по договорённости.Можно и на длительный срок.Օրավարձով։վարձով բնակարան Սեվանում։Rent haus Sevan",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17632391
Monolith,Yes,Not available,1.0,100 sq.m.,4.0,1.0,from 2.75 m,1.0,Open balcony,Major Renovation,5,Yes,Yes,Not included,By Agreement,"Bagrevand 22th street, Yerevan","$1,000 daily",USD,Տրվում է վարձով սեփական տուն Բագրեվանդ թաղամասում: ՈՒնի բոլոր կոմունալ հարմարությունները:Առկա է հողատարածք իր պտղատու ծառերով:Сдается собственный дом в районе Багреванд со всеми коммуникациями.Есть участок земли с собственными фруктовыми деревьями.Կոդ LL969,Nov-24-2022_17-51,Available,,,,,,https://list.am/en/item/13979934
Stone,No,Not available,3.0,42 sq.m.,1.0,1.0,from 2.75 m,2.0,Open balcony,Designer Renovation,4,Yes,No,Not included,By Agreement,"Sayat Nova street 13/14, Sevan town","13,000 ֏ daily",AMD,"Сдается прямо в центре Севан маленькая, комфортная и очень уютная квартира в Севане.Рядом вся необходимая инфраструктура (Банкоматы, Пиццерии, Магазины (самый оптовый магазин находится рядом)Рядом с ЖД вокзалом. Находится на улице Саят Новы, которая прямиком идет в сторону городского пляжа (Одного из лучших пляжей для плавания, по всему побережью)Կոդ Mama Mia",Nov-24-2022_17-51,Available,,,,,,https://list.am/en/item/17640478
Stone,No,Not available,1.0,120 sq.m.,4.0,2.0,from 2.8 m,1.0,Open balcony,Designer Renovation,8+,Yes,Negotiable,Included,By Agreement,Gegharkunik › Sevan,"30,000 ֏ daily",AMD,"Spend your vacation in the cozy corner of Sean.In the forest beauty, a comfortable and warm house covered with white snow will be waiting for your family.WIFI is available in the cottages3 bedrooms1 large living room2 BathroomsKitchenBalcony:As he is provided with all the necessary items.HURRY, SEATS ARE LIMITED.You can call for a reservationTranslated from Armenian",Nov-24-2022_17-51,Available,COncierge,"OUtdoor parking, covered parking","TElevision, internet, parking space","FRidge, stove, coffee maker, washing machine, water heater, iron, hair dryer",YArd view,https://list.am/en/item/17872690
Stone,No,Not available,4.0,130 sq.m.,5.0,2.0,from 3 m,4.0,Multiple balconies,Major Renovation,7,Yes,No,Included,By Agreement,"Սայաթ-Նովա փողոց 20/25, Սևան","30,000 ֏ daily",AMD,"The natural center is located in the city of Sevan at Sayat-Nova 20/16.On the 4-5 floors of a stone building (4-5 floor stairs are inside the house)1—Large living room with fireplace1—Large kitchen with a separate table1—Rest room3—Bedroom1 large double bed in 12 single beds in 12 queen beds in 12—Bathroom (with hot and cold water, possibility of shower, washing machine)3— Balcony1 with a 40m2 fireplace, outside table and chairs, with a view of Lake SevanHas all amenities including dishes, linens, etc.️To the nearest shore of Lake Sevan 10 minutes on foot, 3-5 minutes by carThe cost of 1 day is AMD 35,000depending on the number of days and the number of guests, bargaining is possible.Translated from Armenian",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/18181051
Stone,No,Not available,2.0,104 sq.m.,3.0,2.0,from 3.2 m,1.0,Open balcony,Major Renovation,8+,Yes,Yes,Not included,2 months,"Улица Наирян 176, Севан","150,000 ֏ monthly",AMD,"Տրվում է վարձով երկարաժամկետСдается квартира имеет свой дворик (можно сказать частный дом))Имеет всe условия, газ свет вода, мангал, дворик, вайфай, короче смотрите на фотках все понятно) если что набирайте по телОтвечу на любые вопросы!Насчет цены договоримся зависит от срока арендыОтправлю фотки дворика по вацапу!",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17654036
Stone,No,Available,9.0,35 sq.m.,2.0,1.0,from 3.5 m,7.0,Closed balcony,Old Renovation,3,Yes,No,Not included,2 months,Gegharkunik › Sevan,"30,000 ֏ monthly",AMD,2-room apartment is for rent. With partial property. Sunny. It is not gasified. WITH 2 MONTH ADVANTAGE. It is also for daily rent. Sale is also possible. ZANGEN ONLY ANY REAL PEOPLE. NALBANDYAN STREET 42 BUILDING. 707 APARTMENT. MANDATORY FOR TWO MONTHS IN ADVANCE.Translated from Armenian,Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17185866
Stone,Yes,Not available,1.0,83 sq.m.,4.0,1.0,from 2.75 m,1.0,Open balcony,Major Renovation,,,,,,"Yerevanyan highway, Սևան","60,000 ֏ daily",AMD,"Spend your vacation in the resort area of Lavender City.For more information, please contact: Call the indicated numberCode A101Translated from Armenian",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/13989904
Stone,Yes,Not available,3.0,35 sq.m.,1.0,1.0,from 2.8 m,3.0,Not available,Major Renovation,,,,,,Gegharkunik › Sevan,"13,000 ֏ daily",AMD,"Есть все ком услуги, бытовой техники, очень красиво очень уютно на двоих в центре города рядом с домом все необходимое",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/18241965
Stone,No,Not available,4.0,57 sq.m.,2.0,1.0,from 2.75 m,2.0,Closed balcony,Cosmetic Renovation,,,,,,Gegharkunik › Vardenis,"70,000 ֏ monthly",AMD,"3-room apartment is for rent on Yeritasardutyan street. The apartment has the necessary property and equipment. The bathroom and the kitchen are capitally renovated, the other rooms are clean. There is a closed balcony, which can serve as a room. It is located on the central street of the city, there is a school, a kindergarten, shops nearby.Translated from Armenian",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17271099
Stone,No,Not available,5.0,162 sq.m.,3.0,1.0,from 3 m,1.0,Not available,Major Renovation,4,Yes,Yes,Included,Without prepayment,"Սարգիս Սևանեցու փողոց 7, Սևան","30,000 ֏ daily",AMD,"An apartment is for rent, fully renovated. He has a garage.For details, please call.Translated from Armenian",Nov-24-2022_17-51,Available,,,,,,https://list.am/en/item/16492432
Stone,No,Not available,1.0,39 sq.m.,1.0,1.0,from 2.8 m,1.0,Open balcony,Designer Renovation,4,Yes,Yes,Included,By Agreement,Gegharkunik › Sevan,"15,000 ֏ daily",AMD,"Cottage for daily rent in Sean, Lavanda City resort areaHas 1 bedroom, living room, kitchen with all amenities, dishes, furniture, appliancesTranslated from Armenian",Nov-24-2022_17-51,Available,,,,,,https://list.am/en/item/17769142
Stone,No,Not available,5.0,55 sq.m.,2.0,1.0,from 2.8 m,5.0,Closed balcony,Cosmetic Renovation,2,Yes,No,Not included,6 months,"Nairyan Str., Sevan","70,000 ֏ monthly",AMD,"Cosmetically renovated, sunny side, gas, water yard, water heater, necessary furniture, garage is provided if desired, long-term, 2-month advance deposit is also provided.Translated from Armenian",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17520054
Stone,No,Not available,5.0,70 sq.m.,2.0,1.0,from 2.8 m,3.0,Closed balcony,Major Renovation,,,,,,"Khaghagutyan street, Sevan town","10,000 ֏ daily",AMD,The apartment is located very close to the public beach (10 minutes walk)Translated from Armenian,Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17898596
Stone,No,Not available,5.0,90 sq.m.,4.0,1.0,from 2.8 m,5.0,Closed balcony,Major Renovation,4,Yes,No,Not included,2 months,"Nalbandyan street, Sevan town","150,000 ֏ monthly",AMD,"4-room apartment with all the communal facilities is for rent in the city of Sjan, the property is completely handed over to the tenant. The floor is parquet, the kitchen and the bathroom are tiled. It is desirable to have 3 people and it is desirable to be rented for a long time. I am not a mediator, I am the owner of the house. For details, call the number mentioned on viber whats app.Сдаю 4х комнатную квартиру в городе Севан with all communal amenities and furniture. Floor parquet, kitchen and bathroom with coffee maker. Minimal term 6 months, without small children. Я не соредник это мой собственный дом.Translated from Armenian",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17704625
Stone,Yes,Not available,1.0,60 sq.m.,3.0,1.0,from 3 m,1.0,Open balcony,Euro Renovation,,,,,,"Yerevan street 19, Tsakkar",$750 monthly,USD,"The cottage is located in Sevan Lavanta city. Has all facilities.The fee for one week is 150,000Translated from Armenian",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17956692
Stone,No,Not available,5.0,73 sq.m.,3.0,1.0,from 2.7 m,4.0,Closed balcony,Euro Renovation,4,Yes,No,Not included,By Agreement,Gegharkunik › Sevan,"200,000 ֏ monthly",AMD,Գեղարքունիքի մարզ քաղաք ՍևանСдается в аренду квартираВ квартире есть все коммунальные услугиудобства:* Система отопления* Газовая плита* Телевизор* Холодильник* Автоматическая стиральная машина* Долгосрочная арендадепозит за 1 месяцЗвоните для более подробной информации:Сейчас свободнаՏրվում է վարձով բնակարանԲնակարանում առկա են կոմունալ բոլոր հարմարությունները`• Ջեռուցման համակարգ• Գազօջախ• Հեռուստացույց• Սառնարան• Ավտոմատ լվացքի մեքենա• Երկարաժամկետ վարձակալության 1 ամսվա դեպոզիտՄանրամասների համար զանգահարել`:Ներկա պահին ազատ է,Nov-27-2022_18-50,Available,,,,,,https://list.am/en/item/18490573
Panels,No,Not available,4.0,74 sq.m.,2.0,1.0,from 2.8 m,2.0,Closed balcony,Old Renovation,2,Yes,No,Not included,By Agreement,Gegharkunik › Chambarak,"35,000 ֏ monthly",AMD,"2-room apartment for rent in Chambarak city, Tigran Mets 34 building, 8th apartment. The apartment is very bright and sunny. It has a closed balcony that can be used as a living room, it has a basement, a plot of land in front of the building is about 400 m, it has a storage room inside the house and in the corridor, the floor is parquet, the apartment is gasified.Translated from Armenian",Nov-27-2022_18-50,Available,,,,STove,YArd view,https://list.am/en/item/18589516
Stone,No,Not available,5.0,74 sq.m.,3.0,1.0,from 2.8 m,2.0,Multiple balconies,Partial Renovation,8+,Yes,No,Not included,By Agreement,"Lernagorts Street, Vardenis","65,000 ֏ monthly",AMD,"Трёхкомнатная квартира с ремонтом девяностых, сан узел и ванная капитально отремонтированы, есть мебель и т. Д. Остальное по телефону. Здаётся на длительний срок, можно принести свою мебель.",Nov-27-2022_18-50,Available,PLayground,OUtdoor parking,"TElevision, parking space","FRidge, stove, water heater","YArd view, street view",https://list.am/en/item/18598742
Stone,No,Not available,5.0,70 sq.m.,3.0,1.0,from 2.75 m,5.0,Multiple balconies,Major Renovation,6,Yes,Negotiable,Not included,By Agreement,"Khaghagutyan street, Sevan town",80 ֏ monthly,AMD,"It is rented for at least 4 months., hot water, individual heating systemYou pay the first and last month's rent.You can write and call on WhatsAppTranslated from Armenian",Nov-27-2022_18-50,Available,PLayground,OUtdoor parking,PArking space,"STove, water heater","YArd view, street view, city view",https://list.am/en/item/18372118
Stone,No,Not available,5.0,48 sq.m.,1.0,1.0,from 2.7 m,5.0,Multiple balconies,Cosmetic Renovation,4,Yes,Yes,Not included,Without prepayment,"Սարգիս Սևանեցու փողոց 21, Սևան","9,000 ֏ daily",AMD,"Տրվում է օրավարձօվ, մեկ սենյակ նիշյայով բնակարան, առկա են բոլօր հարմարությունները, գտնվում է 4֊րդ միկռոյում։ Здаётся квартира на сутку есть все удобства, находится в 4-огом микро.Translated from Armenian",Nov-27-2022_18-50,Available,,,,,,https://list.am/en/item/18487636
Stone,No,Not available,3.0,40 sq.m.,2.0,1.0,from 3 m,1.0,Not available,Major Renovation,2,Yes,No,Not included,1 month,Gegharkunik › Sevan,"150,000 ֏ monthly",AMD,"The apartment is completely renovated, has permanent waterHot water and heating is provided by electricityPartial furniture (depending on the period, will be furnished if desired)Translated from Armenian",Nov-27-2022_18-50,By agreement,,,,,,https://list.am/en/item/18549800
Stone,No,Not available,5.0,80 sq.m.,3.0,1.0,from 2.8 m,4.0,Multiple balconies,Euro Renovation,5,No,No,Not included,2 months,Gegharkunik › Martuni,"140,000 ֏ monthly",AMD,"Три комнаты квартира сдается в аренду, город мартуни улица ереванян",Nov-27-2022_18-50,Not available,,,,,,https://list.am/en/item/16677627
Stone,No,Not available,5.0,43 sq.m.,1.0,1.0,from 2.5 m,2.0,Closed balcony,Old Renovation,3,Yes,Yes,Not included,1 month,Gegharkunik › Martuni,"70,000 ֏ monthly",AMD,"Сдаю в аренду однокомнатную квартиру с большой комнатой, закрытым балконом на втором этаже в пятиэжтажном доме. Дом находиться к ценральной улице, где близко вся инфрастуктура магазины, рынок и т. Далее. Зимой отопление газовое, летом пешком модно пройти до озера Севан. Можно семье с детьми без животных. Более подробнее звоните по указанным номеруՎարձով եմ տալիս 1 սենյականոց բնակարան հինգ հարկանի շենքի երկրորդ հարկում մեծ սենյակով փակ պատշգամբ։Տունը գտնվում է կենտրոնական փողոցում, որտեղ բոլոր ենթակառուցվածքները մոտ են խանութներին, շուկային և այլն։ Ձմռանը գազով ջեռուցում, ամռանը մոդայիկ է քայլել դեպի Սևանա լիճ. Երեխաների հետ առանց կենդանիների Մանրամասների համար զանգահարել նշված համարովI am renting a 1-room apartment on the second floor of a five-story building with a large room and a closed balcony. The house is located in the central street, where all infrastructure is close to shops, market, etc. Gas heating in winter, it is fashionable to walk to Lake Sevan in summer. With children, without pets. For details, call the indicated number.Ვაქირავებ 1 ოთახიან ბინას ხუთსართულიანი კორპუსის მეორე სართულზე დიდი ოთახით და დახურული აივნით სახლი მდებარეობს ცენტრალურ ქუჩაზე სადაც ყველა ინფრასტრუქტურა ახლოს არის მაღაზიებთან, ბაზართან და ა. Შ. Გაზის გათბობა ზამთარში მოდურია ზაფხულში სევანის ტბაზე სიარული. Ბავშვებთან ერთად შინაური ცხოველების გარეშე. Დეტალებისთვის დარეკეთ მითითებულ ნომერზე.",Nov-27-2022_18-50,Available,,,,,,https://list.am/en/item/18467922
Stone,No,Not available,2.0,55 sq.m.,2.0,1.0,from 2.8 m,1.0,Closed balcony,Cosmetic Renovation,8+,Yes,Yes,Not included,2 months,"Nairyan Street, Sevan town","80,000 ֏ monthly",AMD,There is also a garageTranslated from Armenian,Nov-27-2022_18-50,Available,,OUtdoor parking,"TElevision, internet, parking space","FRidge, stove, washing machine, water heater, hair dryer","YArd view, street view, city view, park view",https://list.am/en/item/18608012
Panels,No,Not available,3.0,64 sq.m.,2.0,2.0,from 2.5 m,3.0,Closed balcony,Partial Renovation,,,,,,"Եղիշե Չարենցի փողոց 54, Վարդենիս","60,000 ֏ monthly",AMD,"A 2-room apartment for rent in Vardenis, the price is unchanged, it is rented to a familyTranslated from Armenian",Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18435867
Stone,No,Not available,3.0,55 sq.m.,2.0,1.0,from 2.8 m,3.0,Closed balcony,Old Renovation,4,Yes,Negotiable,By Agreement,By Agreement,Gegharkunik › Sevan,"80,000 ֏ monthly",AMD,For more information callTranslated from Armenian,Nov-27-2022_18-50,Available,PLayground,OUtdoor parking,PArking space,"FRidge, stove, microwave","YArd view, street view, city view, park view",https://list.am/en/item/18623186
Stone,Yes,Not available,2.0,100 sq.m.,3.0,1.0,from 2.7 m,2.0,Closed balcony,Cosmetic Renovation,5,Yes,No,Not included,By Agreement,Gegharkunik › Sevan,"100,000 ֏ monthly",AMD,"Հարմարավետ և արևկող 3 սենյականոց բնակարան է 5-րդ միկրո թաղամասում։ Բնակարանում առկա են բոլոր կոմունալ հարմարությունները (կահույք, սառնարան, լվացքի մեքենա, ինչպես նաև առկա է տաք և սառը ջուր) ։ Բնակարանը տրվում է և ամսավարձով և օրավարձով։A cosy and confortable appartment near the centre of the city. It has 3 rooms and has all amenities eather for one day or for monthly rent. Everything is visible on the photos, please call if you have any questions.Уютная, солнечная 3-комнатная квартира в 5ом микрорайоне. В квартире есть все удобство (мебель, холодильник, стиральная машина, а также горячая и холодная вода) Квартира сдается как помесячно, так и посуточно. Вы можете звонить в случае возникновения вопросов.",Nov-27-2022_18-50,Available,,,,,,https://list.am/en/item/18575611
Wooden,Yes,Not available,1.0,54 sq.m.,3.0,1.0,from 2.7 m,1.0,Not available,Euro Renovation,4,Yes,Yes,Not included,1 month,Gegharkunik › Sevan,"130,000 ֏ monthly",AMD,Сдаётся коттедж на берегу sevana всеми коммунальными удобствами и у нас есть четыре таких номера,Nov-27-2022_18-50,Available,,,,,,https://list.am/en/item/18452290
Stone,No,Not available,5.0,72 sq.m.,3.0,1.0,from 2.8 m,3.0,Open balcony,Partial Renovation,,,,,,"Lernagorts Street 1, Vardenis","60,000 ֏ monthly",AMD,A partially refurbished buck system comes with the guts and hardwareTranslated from Armenian,Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18402399
Stone,No,Not available,5.0,100 sq.m.,3.0,1.0,from 3 m,4.0,Open balcony,No Renovation,8+,Yes,No,Not included,1 month,"Nairyan Str., Sevan","40,000 ֏ monthly",AMD,The apartment is sunny. Is given long-termTranslated from Armenian,Nov-27-2022_18-50,Not available,,,,,,https://list.am/en/item/18557041
