Elevator,Floors in the Building,Room Area,Renovation,Balcony,Floor,Address,Price,Currency,Description,Datetime,Type,Number of Guests,Children Are Welcome,Pets Allowed,Prepayment,Utility Payments,Parking,Amenities,Appliances,Links
Not available,1,35 sq.m.,Major Renovation,Open balcony,1,"Շիրակացի փողոց 10/1, Գյումրի","9,000 ֏ daily",AMD,"2-room apartment with all communal amenities is for daily rent in Gyumri.Attention!PRICE IS CHANGE BY NUMBER OF PERSONS, DAYS AND HOURSTranslated from Armenian",Dec-12-2022_21-23,,,,,,,,,,https://list.am/en/item/17548209
Not available,2,20 sq.m.,Major Renovation,Open balcony,2,"Ջիվանի փողոց 72, Գյումրի","10,000 ֏ daily",AMD,"It is located in the center of the city, capitally renovated, there are all the conditions for rest, the rooms have a separate bathroom, bath, TV, refrigerator, it also has a rest roomTranslated from Armenian",Dec-12-2022_21-23,Guesthouse,4,Yes,No,By Agreement,Included,,,,https://list.am/en/item/16338197
Not available,3,80 sq.m.,Major Renovation,Closed balcony,2,"Furmanov street, Gyumri","35,000 ֏ daily",AMD,"The rooms of the 3-storey guest house are for daily rent.With a brand new renovation. There is a kitchen, bathroom, washing machine, iron, hairdryer, TV with cable channels, heating system, constant hot and cold water.For more details, call the indicated phone numberTranslated from Armenian",Dec-12-2022_21-23,Guesthouse,6,Yes,No,By Agreement,Included,Outdoor parking,"Television, internet, parking space","Fridge, stove, coffee maker, washing machine",https://list.am/en/item/18646119
Not available,5,13 sq.m.,Old Renovation,Open balcony,2,"Шоссе Хримян Айрика, Гюмри","60,000 ֏ monthly",AMD,"В 3-ех комнатной квартире сдаю одну комнату в аренду, г Гюмри ул Хримян Айрика дом 5а кв 14I rent one room in a 3-room apartmentaddress / Armenia city Gyumri - Khrimyan Hayrik house, 5a flat, 14",Dec-12-2022_21-23,Apartment,8+,Yes,No,By Agreement,By Agreement,,Television,Washing machine,https://list.am/en/item/18051259
Not available,2,30 sq.m.,Euro Renovation,Open balcony,2,"Teryan street, Gyumri","18,000 ֏ daily",AMD,Guest house rooms with all utilities are available for rent and daily rent in the central part of the city.Translated from Armenian,Dec-12-2022_21-23,Guesthouse,8+,Yes,Negotiable,By Agreement,Included,Outdoor parking,"Television, air conditioner, internet, parking space","Fridge, stove, microwave, coffee maker, washing machine, drying machine",https://list.am/en/item/18629003
Not available,2,15 sq.m.,Euro Renovation,Open balcony,2,"Մանուշյան փողոց 33, Գյումրի","80,000 ֏ monthly",AMD,"Private house is for daily rent, it is also possible for a long-term, there is also a beautiful garden with its swimming pool, free WI-FI is available in the whole house. Beautiful environment, impeccable cleanliness, friendly service. We will welcome you with love. Price starting from 5000 AMD. If you have any questions, call. Address: 33 Manushyan Street.Translated from Armenian",Dec-12-2022_21-23,Guesthouse,8+,Yes,No,By Agreement,By Agreement,,,,https://list.am/en/item/16714382
Not available,1,26 sq.m.,Designer Renovation,Open balcony,1,"Մերկուրովի փողոց 26 null, Գյումրի","16,000 ֏ daily",AMD,"Vana House, Hyuratun, Guest house, hyuranoc for daily rent. The room has a separate entrance from the yard, has a separate bathroom, a double bed, an open sofa for 2 people and 1 folding bed in the hall, has a separate kitchenette, hair dryer, TV, Internet, local heating and hot water supply system. It has a luxurious courtyard where guests can use toaster, stove, grill and BG, there is also a separate living room in the courtyard with all the amenities and extra dishes where you can spend your small event or good time with an extra payment of only AMD 5000 per person.Translated from Armenian",Dec-12-2022_21-23,Guesthouse,5,Yes,No,By Agreement,Included,,"Television, internet, parking space",,https://list.am/en/item/18673235
Not available,1,16 sq.m.,Designer Renovation,Open balcony,1,"Մերկուրովի փողոց 26 null, Գյումրի","12,000 ֏ daily",AMD,"Vana House, Hyuratun, guest house, hyuranoc for daily rent. The rooms have a separate entrance from the yard, have separate bathrooms, double beds, separate kitchenettes, hairdryer, smart TV, internet, local heating and hot water supply systems. They have a luxurious courtyard where guests can use toaster, stove, grill and BG, there is also a separate living room in the courtyard with all amenities and extra dishes, where you can spend your small event or good time with extra payment of only 5000 AMD per person. 8 o'clockTranslated from Armenian",Dec-12-2022_21-23,Guesthouse,2,Yes,No,By Agreement,Included,Outdoor parking,"Television, internet, parking space","Fridge, stove, coffee maker, washing machine, iron, hair dryer",https://list.am/en/item/18672483
Available,2,30 sq.m.,Major Renovation,Open balcony,1,"Մարշալ Բաղրամյան փողոց 19/15, Արթիկ","200,000 ֏ monthly",AMD,"Гостиничный комплекс Варага предоставляет семейные номера в долгосрочную аренду, все удобства предоставляются, внимание! Наши гости освобождены от всех коммунальных платежей, звоните для получения подробной информации. Количество мест ограничено. Ресторан и сауна всегда открыты. Вы можете найти нас в Facebook, Google и Яндекс Навигаторе (Отель Варага)Дом в аренду, комнаты в аренду, частные комнаты, апартаменты, семейные комнаты",Dec-12-2022_21-23,Hotel,8+,Yes,Yes,By Agreement,Included,,,,https://list.am/en/item/18421062
Not available,5,12 sq.m.,Designer Renovation,Open balcony,2,"Movses Khorenatsi Street 6, Gyumri","75,000 ֏ monthly",AMD,"Տրվում է վարձով լյուքս կարգի բնակարանի մի սենյակ, միայն ուսանող կանանց, հյուրեր բերել ըստ համաձայնության ։Ուտելիքը տրվում է 2-3 անգամ օրը, թույլատրվում է օգտվել տան տեխնիկայից, տունը ապահոված է ամեն ինչով, Wi-fi, smart tv, լվացքի մեքենա, լոգարանով, պետկարան ։Լվացքը կատարում եք դուք օգտվելով տան լվացքի մեքենայից, բայց ձեր միջոցներով։Առկա է պատշգամբ պատկերով դեպի Արագածը ։Լրացուցիչ ինֆորմացիայի համար զանգահարելԶանգահարեն ուսանող իգական սեռի մաքրասեր անձինք։Сдается комната в квартире люкс класса, квартира обеспечена всем, Wi fi Smart tv, стиралка, туалет, ванная и т. ДСтирка делается вашими средствами нашей техникой.Есть балкон видом на Арагац.Заинтересованы ?ЗвонитеТолько женщины и студенки. ЧистолюбищиеՀրավիրեք երկրորդ անձին սենյակում բնակվելու և 150 000 ամսեկան գումարի փոխարեն վճարեք 130 000։ Սենյակը երկտեղանոց է, մենակով վարձելու դեպքում անցանոթ մարդկանց չենք հրավիրի ձեր հետ բնակվելու։Пригласите второго человека и вместо 150 000 в месяц платите 130 000.Комната двухместная в случке аренды одного человека, мы не пригласим незнакомого человека в комнату.",Dec-12-2022_21-23,,1,No,No,By Agreement,Not included,,,,https://list.am/en/item/18525009
Not available,1,30 sq.m.,Euro Renovation,Closed balcony,1,"Լևոն Մադոյան փողոց 144, Գյումրի","5,000 ֏ daily",AMD,"Օրավարձով են տրվում 3 սենյականոց տան առանձին սենյակներ: Տունն ապահովված է կոմունալ բոլոր հարմարություններով, ունի բակ, ավտոկայանատեղի: Սանհանգույցն ընդհանուր է, կա անվճար Wifi: Մոտակայքում կան խանութներ, բարեր, սրճարաններ: Տունը մոտ է գտնվում գնացքի կայարանին և ավտոկայարանին: 1անձի համար 1 օրվա արժեքը կազմում է 5000 դրամ։ Մանրամասների համար զանգահարել նշված հեռախոսահամարով:Сдаются в посуточную аренду отдельные комнаты 3-х комнатного дома. Дом обеспечен всеми коммунальными удобствами, имеется двор, парковка. Туалет с ванной общие, есть бесплатный Wi-Fi. Рядом магазины, бары, кафе. Дом находится недалеко от железнодорожного вокзала и автовокзала. Плата за одного человека за одну ночь 5000 драм. Для дополнительной информации звоните по номеру.For daily rent separate rooms of a 3-room house. The house is provided with all utilities, there is a yard, parking, free Wi-Fi. Toilet and bathroom are quite. Near house are shops, bars, cafes. The house is located near train station and bus station. The fee for one person for one night is 5000 AMD. For more information call the number",Dec-12-2022_21-23,Guesthouse,2,No,No,Without prepayment,Included,,,,https://list.am/en/item/16542280
Available,2,,Major Renovation,Open balcony,2,"Մարշալ Բաղրամյան փողոց 19/15, Արթիկ","200,000 ֏ monthly",AMD,"Гостиничный комплекс Варага предоставляет семейные номера Матчели в долгосрочную аренду, все удобства предоставляются, внимание! Наши гости освобождены от всех коммунальных платежей, звоните для получения подробной информации. Количество мест ограничено. Ресторан и сауна всегда открыты.",Dec-12-2022_21-23,Hotel,8+,Yes,No,By Agreement,Included,,,,https://list.am/en/item/18420762
Not available,5,32 sq.m.,Cosmetic Renovation,Not available,3,"5-я улица Антараван, Гюмри","12,000 ֏ daily",AMD,Возможен торг.Квартира сводобна.Все необходимое для проживания имеется.Все подробности по телефону.Звонить до 18:00,Dec-12-2022_21-23,,2,Yes,No,Without prepayment,Included,,,,https://list.am/en/item/17919777
Not available,2,9 sq.m.,Euro Renovation,Not available,2,"Movses Khorenatsi Street 24, Gyumri","60,000 ֏ monthly",AMD,Сдаю комнату в уютном двухетажном доме в квартале Ани. Спокойное и тихое место место. Есть интернет ․,Dec-12-2022_21-23,,1,No,No,1 month,By Agreement,,,,https://list.am/en/item/18494526
Not available,4,40 sq.m.,Designer Renovation,Not available,2,"Aragats street, Գյումրի","15,000 ֏ daily",AMD,"Hotel and apartment for daily rentK. Gyumri,400 square meters. Total area2 3-room apartments4 hotel roomsHeating SystemHot and cold waterLightWith propertyBy techniqueEuro refurbishedUtility with all amenitiesRental price: 4 hotel rooms cost 15,000 AMD per person with breakfastRental price: 4 hotel rooms for 2 persons 20,000 AMD with breakfastCode 1147Translated from Armenian",Dec-12-2022_21-23,,2,Yes,No,By Agreement,Not included,,,,https://list.am/en/item/17875119
Not available,1,25 sq.m.,Cosmetic Renovation,Not available,1,"Մազմանյան փողոց 191, Գյումրի","8,000 ֏ daily",AMD,The room has all the utilities.Translated from Armenian,Dec-12-2022_21-23,,3,Yes,Yes,By Agreement,Included,,,,https://list.am/en/item/18180637
